date,symbol,adjusted_close_yahoo,adjusted_close_alpaca,return_yahoo,return_alpaca,return_difference
2025-06-24,VCR,356.6172180175781,357.45,0.005923825777749636,0.027539023198321244,0.021615197420571608
2025-06-25,VCR,352.4962158203125,357.45,-0.01155581387846083,0.0,0.01155581387846083
2025-06-26,VCR,356.34051513671875,354.59,0.010905930741582415,-0.00800111903762768,-0.018907049779210094
2025-07-22,VCR,373.4329528808594,369.61,0.011915171684818704,0.0,-0.011915171684818704
2025-07-24,VCR,369.2044982910156,369.35,-0.017434515088412317,-0.0007034441708827499,0.016731070917529567
2025-08-01,VCR,356.9460144042969,356.63,-0.02692380519452864,-0.04049182092122261,-0.013568015726693972
2025-09-04,VCR,388.7883605957031,377.86,0.01997294230713198,0.0,-0.01997294230713198
2025-09-05,VCR,389.2946166992187,388.9,0.0013021380134423666,0.02921717038056415,0.027915032367121784
2025-09-26,VCR,395.0030517578125,390.87,0.014479429403621236,0.0027449974345818973,-0.011734431969039338
2025-09-30,VCR,393.89935302734375,392.94,-0.007888822127902761,0.005295878425051859,0.01318470055295462
2025-10-10,VCR,374.4007568359375,387.26,-0.032204972084816874,0.005243484581040292,0.037448456665857166
2025-10-13,VCR,383.7275085449219,382.56,0.02491114544693973,-0.012136549088467619,-0.03704769453540735
2025-11-07,VCR,386.6706848144531,382.69,0.0029660518857226315,-0.007469460798298577,-0.010435512684021209
2025-11-10,VCR,391.6522216796875,382.69,0.012883151117661695,0.0,-0.012883151117661695
2025-11-11,VCR,392.5371398925781,392.15,0.0022594489802596485,0.024719747053751018,0.02246029807349137
2026-02-03,VCR,397.5959777832031,393.57,-0.006991154826735846,-0.01786739200958254,-0.010876237182846693
2026-02-04,VCR,395.99212646484375,396.82,-0.004033872091215973,0.008257743222298553,0.012291615313514526
2026-02-24,VCR,383.4999694824219,377.41,0.014761225375751197,0.0,-0.014761225375751197
2026-02-25,VCR,383.7789306640625,382.75,0.0007274086149657855,0.014149068652128838,0.013421660037163052
2026-03-06,VCR,374.364990234375,381.92,-0.019387870032995913,0.0,0.019387870032995913
2026-03-09,VCR,374.6638793945313,368.9,0.0007983897211361057,-0.03409090909090917,-0.03488929881204528
2026-03-11,VCR,372.9803161621094,372.32,-0.0020789920636261616,0.009270805096232015,0.011349797159858177
2026-03-25,VCR,363.8782043457031,360.14,0.010029597226975273,0.0,-0.010029597226975273
2026-03-26,VCR,357.6996154785156,358.05,-0.016979826748066307,-0.00580329871716545,0.011176528030900856
2020-10-06,VDC,142.4666748046875,143.73,-0.006306757142489183,0.004753582663404199,0.011060339805893382
2020-10-28,VDC,139.37147521972656,141.75,-0.02801355099634517,-0.013569937369519725,0.014443613626825447
2020-10-30,VDC,138.69334411621094,137.33,-0.003995455117753677,-0.02256227758007112,-0.018566822462317445
2020-11-02,VDC,140.89297485351562,141.17,0.01585967049335557,0.027961843734070957,0.012102173240715386
2020-11-09,VDC,144.76197814941406,146.75,-0.0020382900201525445,0.014027086788280796,0.01606537680843334
2020-11-10,VDC,147.74420166015625,147.83,0.02060087565026314,0.007359454855196068,-0.013241420795067071
2021-01-04,VDC,151.06869506835938,149.94,-0.003472693692432305,-0.019294917914840615,-0.01582222422240831
2021-03-25,VDC,154.87660217285156,153.4,0.010360029850933428,-0.0014971034303195019,-0.01185713328125293
2021-10-06,VDC,162.0794219970703,160.11,0.008719285188791392,-0.005836696678050313,-0.014555981866841705
2021-10-07,VDC,162.7665557861328,163.07,0.004239488150907356,0.018487289988132982,0.014247801837225627
2022-01-28,VDC,174.92266845703125,173.25,0.01221270596811519,0.0017925292008789118,-0.010420176767236278
2022-04-01,VDC,179.27664184570312,177.41,0.015007222237580553,-0.004321472668088466,-0.01932869490566902
2022-04-04,VDC,178.71763610839844,178.73,-0.003118118074666998,0.007440392311594657,0.010558510386261655
2022-06-09,VDC,167.49314880371094,169.79,-0.015734767057228538,-0.0028776133427296235,0.012857153714498915
2022-06-10,VDC,166.6907501220703,167.12,-0.0047906358401619276,-0.015725307733082006,-0.010934671892920078
2022-07-12,VDC,169.17958068847656,171.22,-0.0025151795136617583,0.009909165978530199,0.012424345492191957
2022-07-13,VDC,169.3429718017578,169.35,0.0009657850706115134,-0.010921621305922224,-0.011887406376533738
2022-08-26,VDC,174.33485412597656,176.37,-0.024033201911236923,-0.008433125316242185,0.015600076594994738
2022-09-02,VDC,169.89657592773438,173.32,-0.013283661688099802,0.010612244897959089,0.02389590658605889
2022-09-06,VDC,168.68038940429688,168.71,-0.007158393374300909,-0.02659819986152767,-0.019439806487226763
2022-09-09,VDC,173.2275390625,170.82,0.010964679498093988,0.0,-0.010964679498093988
2022-09-12,VDC,173.94456481933594,174.0,0.004139213434055877,0.01861608710923779,0.014476873675181912
2022-10-20,VDC,160.0385284423828,162.61,-0.01334859428102042,0.0,0.01334859428102042
2022-10-21,VDC,162.6422119140625,162.88,0.01626910405275983,0.0016604144886536165,-0.014608689564106214
2022-11-14,VDC,172.33514404296875,174.54,-0.007680311240013449,0.012647946159201506,0.020328257399214955
2022-11-15,VDC,174.1348876953125,174.25,0.010443277036371823,-0.001661510255528742,-0.012104787291900565
2022-12-12,VDC,180.283203125,179.17,0.009153758040852722,-0.0013377180759155394,-0.010491476116768261
2023-03-14,VDC,171.67323303222656,169.14,0.01061875868117701,-0.009312950272359899,-0.01993170895353691
2023-03-15,VDC,172.52911376953125,172.24,0.004985522333257553,0.018328012297505136,0.013342489964247584
2023-03-24,VDC,174.6981201171875,173.78,0.017620027487879275,0.006719962924342404,-0.010900064563536871
2023-04-05,VDC,180.02310180664062,169.91,0.004694937230804497,-0.05078212290502793,-0.05547706013583242
2023-04-06,VDC,180.2449951171875,179.69,0.0012325824203673896,0.05755988464481199,0.0563273022244446
2023-04-10,VDC,180.1432647705078,169.91,-0.0005644003963247712,-0.0544270688407813,-0.05386266844445653
2023-04-11,VDC,180.7349395751953,180.83,0.003284468089557846,0.06426931905126243,0.060984850961704584
2023-04-12,VDC,180.03233337402344,169.91,-0.0038874951507622546,-0.06038820992092031,-0.056500714770158056
2023-04-13,VDC,180.96603393554688,180.99,0.005186293728602909,0.06521099405567665,0.06002470032707374
2023-04-20,VDC,182.19558715820312,169.91,0.0029513912075469495,-0.06421765710194416,-0.06716904830949111
2023-04-21,VDC,183.36045837402344,183.47,0.006393520468796154,0.0798069566240951,0.07341343615529894
2023-04-27,VDC,184.34039306640625,169.91,0.010387453695541504,-0.06868011401008556,-0.07906756770562706
2023-05-01,VDC,185.6346740722656,186.36,0.001396435480112368,0.09681596139132487,0.0954195259112125
2023-05-04,VDC,183.36968994140625,169.91,-0.0019623875036387517,-0.07557127312295986,-0.07360888561932111
2023-05-05,VDC,184.987548828125,184.88,0.008822935171214574,0.08810546760049442,0.07928253242927985
2023-05-11,VDC,183.98907470703125,169.91,0.0022157298701299677,-0.07461467240346398,-0.07683040227359395
2023-05-12,VDC,184.562255859375,184.22,0.003115299934283833,0.0842210582072862,0.08110575827300237
2023-05-15,VDC,184.08154296875,169.91,-0.0026046110478367135,-0.07767886222994247,-0.07507425118210576
2023-05-16,VDC,182.4082489013672,183.19,-0.009089961113955214,0.07815902536637043,0.08724898648032564
2023-05-24,VDC,177.23118591308594,169.91,-0.0061173930908737795,-0.0470555243970836,-0.040938131306209824
2023-05-25,VDC,176.36216735839844,176.36,-0.004903304969779199,0.03796127361544355,0.042864578585222746
2023-07-19,VDC,182.40220642089844,181.95,0.00885842354949995,-0.0012624876495774817,-0.010120911199077431
2023-07-24,VDC,185.13975524902344,185.21,0.0038370337043922564,0.017917010167628478,0.014079976463236221
2023-07-28,VDC,185.8846893310547,185.72,0.010171252008482234,0.00016155958856156616,-0.010009692419920668
2023-08-18,VDC,179.0314178466797,179.17,0.004125531663066173,-0.009836971539099237,-0.01396250320216541
2023-10-12,VDC,163.9904327392578,168.05,-0.013630038839782754,0.0,0.013630038839782754
2023-10-13,VDC,165.37631225585938,164.76,0.008450977861648168,-0.019577506694436253,-0.02802848455608442
2023-10-20,VDC,166.63104248046875,167.88,-0.004141260273812675,0.005992329817833264,0.010133590091645939
2023-12-13,VDC,179.7780303955078,176.05,0.019055283155314795,0.0,-0.019055283155314795
2023-12-14,VDC,177.4557342529297,178.02,-0.01291757473073396,0.011190002840102187,0.024107577570836147
2023-12-18,VDC,178.81353759765625,177.14,0.010049796912203535,0.0,-0.010049796912203535
2024-01-25,VDC,181.00843811035156,180.33,0.010128216776639887,0.0,-0.010128216776639887
2024-02-12,VDC,184.66661071777344,182.94,0.008257720113116651,-0.0020184387103813206,-0.010276158823497972
2024-03-28,VDC,193.7847900390625,193.97,0.0013244414882753741,0.011472075924284342,0.010147634436008968
2024-06-07,VDC,195.65481567382812,196.68,-0.006363490960399121,0.004391788377080985,0.010755279337480106
2024-06-11,VDC,194.98085021972656,194.36,-0.0008270490791896234,-0.01179581045352851,-0.010968761374338887
2024-07-05,VDC,195.6504669189453,193.06,0.010172910726395923,0.0,-0.010172910726395923
2024-07-08,VDC,195.3252716064453,195.32,-0.0016621238764266133,0.011706205324769403,0.013368329201196016
2024-07-17,VDC,199.5336151123047,195.87,0.012718384871608146,0.0,-0.012718384871608146
2024-07-18,VDC,198.32850646972656,198.64,-0.006039627167080841,0.014142032981058872,0.020181660148139713
2024-08-06,VDC,198.18505859375,200.25,0.005873884116133432,0.01898025646244661,0.013106372346313178
2024-08-08,VDC,200.15530395507812,199.94,0.008773081354200851,-0.0038860103626943143,-0.012659091716895166
2024-12-30,VDC,204.11178588867188,206.19,-0.013191047960599889,0.0,0.013191047960599889
2025-01-27,VDC,209.994384765625,203.84,0.02566030339356762,0.0,-0.02566030339356762
2025-01-28,VDC,207.04342651367188,208.31,-0.014052557906473084,0.02192896389324961,0.03598152179972269
2025-08-21,VDC,217.8788604736328,218.25,-0.011365115526797087,0.0058994331013504375,0.017264548628147525
2025-08-25,VDC,214.54254150390625,218.25,-0.015312724522580812,0.0,0.015312724522580812
2025-08-26,VDC,213.4271545410156,213.51,-0.005198908128299373,-0.021718213058419256,-0.016519304930119882
2025-12-15,VDC,213.17835998535156,213.18,0.0021268604739075325,0.018878745877742187,0.016751885403834654
2026-02-02,VDC,227.56689453125,224.34,0.013748781740180016,0.0,-0.013748781740180016
2026-02-03,VDC,231.11814880371097,230.58,0.015605320271983913,0.027814923776410927,0.012209603504427013
2026-07-07,VDC,230.1000061035156,233.08,0.00832607002928376,0.020982084191160544,0.012656014161876783
2026-07-08,VDC,228.80999755859375,229.04,-0.005606295135609507,-0.01733310451347181,-0.011726809377862302
2026-07-14,VDC,226.2899932861328,227.96,-0.012997823224998761,0.0,0.012997823224998761
2021-02-01,VDE,45.28981018066406,44.95,0.010472185411863233,0.0,-0.010472185411863233
2021-02-22,VDE,54.37248229980469,54.41,0.049594743771450345,0.03954910202521966,-0.010045641746230682
2021-03-02,VDE,56.035850524902344,56.62,-0.00671455798666587,0.004078737364781038,0.010793295351446908
2021-03-17,VDE,59.46141815185547,59.07,0.008237918331032157,-0.002869682646860272,-0.011107600977892429
2021-04-01,VDE,58.08293151855469,57.15,0.026911653690739,0.009182412149037589,-0.017729241541701413
2021-04-05,VDE,56.55247116088867,56.64,-0.02634957151184958,-0.00892388451443571,0.01742568699741387
2021-04-06,VDE,56.54414749145508,57.3,-0.00014718489329867968,0.01165254237288127,0.011799727266179949
2021-04-07,VDE,56.78535079956055,56.74,0.004265751962073905,-0.009773123909249448,-0.014038875871323353
2021-12-02,VDE,65.94827270507812,65.91,0.028760886584338508,0.017129629629629717,-0.01163125695470879
2022-02-10,VDE,81.27864837646484,82.19,-0.005577002813937582,0.005997552019583852,0.011574554833521433
2022-02-11,VDE,83.61811065673828,83.63,0.028783233075402093,0.017520379608224834,-0.011262853467177258
2022-03-03,VDE,87.32508850097656,86.88,0.0017759268826806895,-0.010478359908883794,-0.012254286791564484
2022-03-31,VDE,92.76757049560548,93.68,-0.01363796650229221,-0.00010673497705193657,0.013531231525240273
2022-04-01,VDE,93.92022705078124,93.76,0.012425210114027418,0.0008539709649870719,-0.011571239149040347
2022-04-05,VDE,92.36888885498048,93.27,-0.016517615475545755,0.00010722710701260851,0.016624842582558363
2022-04-06,VDE,92.8369140625,92.77,0.005066913907065818,-0.0053607805296451705,-0.010427694436710988
2022-05-16,VDE,99.04219818115234,99.69,0.025392600929022624,0.03660185088905066,0.011209249960028034
2022-05-23,VDE,100.75820922851562,100.84,0.02848560393657662,0.038837951993407005,0.010352348056830385
2022-08-31,VDE,99.33200073242188,100.5,-0.006478365513020723,0.005402160864345751,0.011880526377366474
2022-09-01,VDE,96.83755493164062,96.9,-0.025112207369110906,-0.035820895522387985,-0.01070868815327708
2022-10-07,VDE,101.9100112915039,103.58,-0.00810900862427777,0.008666861427597539,0.016775870051875308
2022-10-10,VDE,99.81829071044922,99.87,-0.02052517269448162,-0.035817725429619585,-0.015292552735137965
2022-10-21,VDE,107.8572769165039,107.79,0.027006574132157457,0.0168867924528302,-0.010119781679327255
2022-10-27,VDE,110.1971664428711,111.51,0.003146587165555381,0.014649681528662306,0.011503094363106925
2022-10-28,VDE,110.68463897705078,110.76,0.004423639462929341,-0.006725854183481261,-0.011149493646410602
2023-03-08,VDE,105.96804809570312,108.08,-0.010713144829487042,0.009621672115833757,0.0203348169453208
2023-03-09,VDE,104.26466369628906,104.28,-0.016074509534002912,-0.03515914137675791,-0.019084631842754995
2023-03-22,VDE,98.42835235595705,98.81,-0.02174110688106179,-0.009522854851643947,0.012218252029417842
2023-06-28,VDE,101.02963256835938,99.53,0.009312132387996552,-0.007479058635819658,-0.01679119102381621
2023-06-29,VDE,102.37261962890624,102.25,0.013293001532378668,0.027328443685320947,0.014035442152942279
2023-07-31,VDE,111.61198425292967,109.24,0.019854785152757293,0.0,-0.019854785152757293
2023-08-01,VDE,111.0733413696289,110.96,-0.004826030886433519,0.015745148297326983,0.020571179183760502
2023-08-18,VDE,113.46533966064452,112.39,0.010324417845684941,0.0,-0.010324417845684941
2023-08-21,VDE,112.78972625732422,113.04,-0.005954359325419878,0.005783432689741241,0.01173779201516112
2023-10-09,VDE,114.29041290283205,114.07,0.0356456801295848,0.025440489032722002,-0.010205191096862798
2023-11-03,VDE,112.30516052246094,113.37,-0.009002421066903965,0.003985122210414582,0.012987543277318547
2023-12-06,VDE,104.98912048339844,104.98,-0.017967571622515055,-0.03181776261182334,-0.013850190989308286
2024-01-16,VDE,104.60791778564452,107.06,-0.02363026328616613,0.0,0.02363026328616613
2024-01-17,VDE,103.7547378540039,103.7,-0.008155978531079189,-0.031384270502521905,-0.023228291971442716
2024-02-13,VDE,107.64044189453124,108.35,-0.010738963265870094,0.0,0.010738963265870094
2024-02-21,VDE,111.77653503417967,111.1,0.019971305859101784,0.007618356611645005,-0.01235294924745678
2024-07-10,VDE,117.970703125,117.75,0.0067468449018690535,-0.004649196956889257,-0.01139604185875831
2024-12-23,VDE,113.37638092041016,112.0,0.0061151727196757655,-0.004532930406186186,-0.010648103125861952
2024-12-24,VDE,114.24732971191406,114.28,0.007681924439935317,0.020357142857142962,0.012675218417207645
2020-09-21,VFH,51.57258987426758,50.95,-0.026823276809024077,-0.03940422322775261,-0.012580946418728534
2020-09-22,VFH,51.128379821777344,51.1,-0.008613297365387407,0.0029440628066732533,0.01155736017206066
2020-11-04,VFH,53.89136505126953,54.61,-0.013818810637659773,-0.0009147457006951631,0.01290406493696461
2020-11-05,VFH,55.19733047485352,55.26,0.024233296416625638,0.011902581944698731,-0.012330714471926907
2021-09-20,VFH,81.75727081298828,80.86,-0.02401961052184831,-0.0342768422309806,-0.010257231709132286
2021-09-21,VFH,81.65800476074219,81.8,-0.0012141556495097738,0.011625030917635337,0.012839186567145111
2022-01-24,VFH,85.93614196777344,84.92,0.0036226860803245664,-0.01014104207949651,-0.013763728159821076
2022-01-25,VFH,86.20985412597656,86.17,0.0031850645367088593,0.014719736222326807,0.011534671685617948
2022-03-10,VFH,81.95819091796875,81.17,-0.007074247432285574,-0.017669127435556042,-0.010594880003270468
2022-03-11,VFH,81.40165710449219,81.5,-0.0067904599557790934,0.00406554145620297,0.010856001411982064
2022-04-22,VFH,80.6628646850586,82.0,-0.029223623543109145,-0.013237063778579916,0.01598655976452923
2022-04-25,VFH,80.80948638916016,80.79,0.0018177101033298726,-0.014756097560975512,-0.016573807664305384
2022-07-21,VFH,74.57427215576172,73.67,0.005590075658454374,-0.006473364801078962,-0.012063440459533337
2022-08-02,VFH,74.98884582519531,75.81,-0.01189612589260658,0.0011885895404120106,0.01308471543301859
2022-08-03,VFH,76.14038848876953,76.16,0.015356185988760984,0.004616805170821747,-0.010739380817939237
2022-08-10,VFH,78.60931396484375,76.5,0.02387831768620452,0.0,-0.02387831768620452
2022-08-11,VFH,79.45685577392578,76.5,0.010781697057693052,0.0,-0.010781697057693052
2022-08-12,VFH,80.70051574707031,80.7,0.01565201594036192,0.05490196078431375,0.039249944843951834
