candidate,eligible,robust_sharpe,mean_sharpe,train_sessions,train_total_return,train_cagr,train_annual_volatility,train_sharpe,train_max_drawdown,train_positive_day_rate,train_gross_total_return,train_total_transaction_cost,train_total_borrow_cost,train_annual_turnover,train_average_gross,train_average_abs_net,train_average_abs_beta,train_missing_held_sessions,validation_sessions,validation_total_return,validation_cagr,validation_annual_volatility,validation_sharpe,validation_max_drawdown,validation_positive_day_rate,validation_gross_total_return,validation_total_transaction_cost,validation_total_borrow_cost,validation_annual_turnover,validation_average_gross,validation_average_abs_net,validation_average_abs_beta,validation_missing_held_sessions
raw_momentum_252_skip_21_tail20_r10,False,-0.19285970443378425,0.04307378444828028,1259,-0.05913874596026103,-0.012127465193705333,0.055310666094044045,-0.19285970443378425,-0.11332449177851334,0.5027799841143765,0.010798769529651864,0.008618791050008949,0.06307072042135634,4.903891977760127,0.841125114625634,0.006045964828526377,0.013156660877329349,0,502,0.018037272482928746,0.009014262010452967,0.03426478509659831,0.2790072733303448,-0.025035289847460063,0.5258964143426295,0.04826104475526405,0.002634859791982696,0.02662302738539494,3.7649402390438245,0.8879744983342052,0.005592379573599102,0.017821761566858815,0
residual_momentum_63_skip_5_tail30_r5,False,-0.19696235676687976,-0.15109915793455758,1259,-0.04961562931097685,-0.010134139123206931,0.046274832069826126,-0.19696235676687976,-0.07702241934411402,0.4932486100079428,0.03141634928128623,0.017145994882024604,0.06466926503118992,9.757744241461477,0.8627664109890582,0.004074777920557848,0.011507806405955901,0,502,-0.00825437747528146,-0.004152183714298818,0.03403846634902564,-0.10523595910223542,-0.035579328993242454,0.5318725099601593,0.025201086116160898,0.005356969845191966,0.02782271037023209,7.655378486055777,0.9240395108961954,0.005208084830782687,0.015240985301535385,0
raw_momentum_126_skip_21_rank_r10,False,-0.19923737606095643,-0.0270539401196528,1259,-0.060721852995603176,-0.01246039513613073,0.05525256949609091,-0.19923737606095643,-0.11721173757886894,0.5011914217633042,0.011293020002542953,0.008602895552126597,0.06526126224716827,4.897493857591112,0.8716997420324705,0.007078637366882806,0.014592774046629328,0,502,0.008700180630389243,0.0043580007413255295,0.03392368331813725,0.14512949582165083,-0.03468022545810956,0.549800796812749,0.03946531664322328,0.002633876907740428,0.027411708649182687,3.7649402390438245,0.916302100128684,0.007037512322041571,0.014255229019090803,0
raw_momentum_63_skip_5_tail20_r21,False,-0.20462515799442463,-0.10878214308901446,1259,-0.04143053703561217,-0.008433607361182593,0.037878953983358984,-0.20462515799442463,-0.08004778365232057,0.5035742652899127,0.001957779449658359,0.004130499027920981,0.04013279591327404,2.35186656076251,0.5334889100328342,0.007832689390148414,0.018640768348825658,0,502,-0.0012379524104544348,-0.0006216339271231108,0.024636086077702794,-0.012939128183604284,-0.03276133034279072,0.5258964143426295,0.017151594394569036,0.001228997402517511,0.01701574749843184,1.7569721115537849,0.5608344985750824,0.008398242845566128,0.03042156057344704,0
raw_momentum_126_skip_21_tail30_r10,False,-0.20890512771241873,-0.04128608712850189,1259,-0.05683293272769141,-0.01164334964909386,0.050051400583630556,-0.20890512771241873,-0.11160399146884259,0.4980142970611596,0.012135592129505435,0.008614330931853233,0.06195204678719124,4.903891977760127,0.8264321635102886,0.006682324006279905,0.01642678306401306,0,502,0.0068155949668284865,0.003415587593356584,0.03072161374681659,0.12633295345541495,-0.03327857880846474,0.5517928286852589,0.036122385808817103,0.0026336221003765556,0.026060619233590928,3.7649402390438245,0.87024153632073,0.006919343780675129,0.01653679347836069,0
raw_momentum_63_skip_5_rank_r5,False,-0.21172119008626467,-0.057945575342874166,1259,-0.059653036163021755,-0.012235572077225143,0.05180351283698185,-0.21172119008626467,-0.09627057869742206,0.4924543288324067,0.021379215750101155,0.017139338255914887,0.0655135929732372,9.757039587497848,0.8748147716308821,0.004670375856583801,0.01202729370917649,0,502,0.005680017691393369,0.0028473022583201946,0.03668381971228629,0.09583003940051633,-0.04104758858749724,0.5358565737051793,0.03970822386681094,0.005353736238589336,0.027925902605217136,7.6522637031950325,0.9308105425638192,0.005388335121854408,0.01658699598023896,0
raw_momentum_126_skip_21_rank_r21,False,-0.21275462017865163,-0.027085922000796805,1259,-0.057944520118770715,-0.011876613949365122,0.050211712976679625,-0.21275462017865163,-0.125343029172848,0.4988085782366958,0.0003480435104341595,0.004130241777801072,0.055898967337093125,2.35186656076251,0.7414617002817033,0.010960487016615988,0.027482583629745587,0,502,0.008595928578297496,0.004305890983115512,0.029910949837279037,0.15858277617705802,-0.031711655769225744,0.5517928286852589,0.03394590309508727,0.0012289781109948474,0.023593570448551267,1.7569721115537849,0.7801650413472427,0.009660358155411008,0.031545503735153094,0
residual_momentum_63_skip_5_tail30_r21,False,-0.21362891557763336,-0.14899634549644392,1259,-0.018746956096969525,-0.0037808225284421404,0.03684414150708722,-0.0843637754152545,-0.06946684569866168,0.4924543288324067,0.026386061889636547,0.004129503312421384,0.04083481356465693,2.35186656076251,0.5447983790513178,0.00706856822475933,0.018519489815019562,0,502,-0.010448163650569997,-0.005258611856570061,0.023400230434917374,-0.21362891557763336,-0.031290878452093884,0.5418326693227091,0.007980935435017766,0.0012287103160043339,0.01722301090194088,1.7569721115537849,0.565866106295024,0.009178094121086281,0.02613075512448095,0
residual_momentum_252_skip_21_tail20_r10,False,-0.2138224802888761,0.028961614143633976,1259,-0.06775291586500032,-0.013944484762720588,0.05783020079045775,-0.2138224802888761,-0.11751524021282422,0.4598888006354249,-0.0019499272074383622,0.007821605428619042,0.060371625016029794,4.4475728906264544,0.8064648431063861,0.006983003456475613,0.013790574094179702,0,502,0.021691806954546644,0.010830926933569573,0.043048076279326844,0.27174570857614405,-0.03388110007526268,0.5398406374501992,0.054513596179795565,0.0026356865243503747,0.028986328628824616,3.7649402390438245,0.9696533662946644,0.007586608368875783,0.0166910723194989,0
raw_momentum_126_skip_21_tail20_r21,False,-0.21625105319953672,0.09343420051100874,1259,-0.053752348484733314,-0.010998042592390123,0.04619083303467838,-0.21625105319953672,-0.11495577541073321,0.4988085782366958,-0.0004393632900094868,0.00413040078633801,0.05067253873821427,2.35186656076251,0.6728073440345175,0.010191340132971585,0.028535781228508417,0,502,0.022873654295860746,0.011417729193613724,0.029221068035521627,0.4031194542215542,-0.029611000062793047,0.5517928286852589,0.04642169878471947,0.0012289807128469143,0.021531528592743186,1.7569721115537849,0.7169021184504043,0.008371714811188547,0.04396951285117181,0
