symbol,security_id,sector,first_eligible,train_eligible_sessions,development_eligible_sessions
FOX,7f9bc611-ddaf-42bf-9faa-48f007b275c8,Communication,2018-10-01,198,0
TMUS,7f9df478-237c-45c8-bc80-c97a53478c37,Communication,2018-10-01,1071,502
PLTR,80e04a93-e1a8-4503-ab61-2ef1992650b4,Information Technology,2022-06-29,129,502
EMR,812453a9-6ec4-4edb-a1d6-7f08a987ba23,Industrials,2018-10-01,1071,502
NCLH,81f61b55-adee-402e-87d4-7b49579e2338,Consumer Discretionary,2018-10-01,1071,502
PRU,830538b2-f315-42e8-a9d6-1b12e539c5ff,Financials,2018-10-01,1071,502
NXPI,840703bb-88cd-4cac-9acd-91eba330dc8a,Information Technology,2018-10-01,1071,502
ARES,849c6721-e693-4bd9-9d04-8d924fccfc3e,Financials,2024-12-03,0,20
AIZ,85000f80-734c-4f0c-b20a-7b7c1e9ec200,Financials,,0,0
LLY,87266a27-1b34-47bd-b236-bd3a9f59b138,Health Care,2018-10-01,1071,502
KDP,88623995-d3b2-41ff-b80d-17a29c51454b,Consumer Staples,2021-01-25,489,502
HIG,896c7f7e-0f23-490a-a7db-d68a269642bb,Financials,2018-10-01,1071,288
GEN,89815654-c60c-4b6a-ab96-80982bf4e53b,Information Technology,,0,0
HST,8c16ddb4-4722-4c02-848d-e9f022ae0c35,Real Estate,2018-10-01,1071,229
TECH,8c7debd9-6b14-44e4-9052-bb2ab5690363,Health Care,,0,0
TSLA,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,Consumer Discretionary,2018-10-01,1071,502
DGX,8cff8b3e-70a0-408a-8584-44c3670992a2,Health Care,2018-10-01,1071,199
FE,8dd27fb6-29cc-43ae-9aae-70edee0e2069,Utilities,2018-10-01,1071,322
DXCM,8dd538ed-bf95-4b22-a6c7-e6f01131d65d,Health Care,2018-10-01,1071,502
SRE,8deb7c67-def6-49e9-aace-9d628260a100,Utilities,2018-10-01,1071,502
CVNA,8e15f85d-62ba-4836-87d7-594a22267d47,Consumer Discretionary,2019-12-17,749,211
HPQ,8e341794-40b2-4509-bca8-c7b6fc49eb96,Information Technology,2018-10-01,1071,502
APP,8fea5887-a5b5-4c84-87a6-0fad05130e60,Communication,2024-10-25,0,46
ALB,90771657-de50-427a-9042-6b257dae4b7d,Materials,2018-10-01,1071,502
AEP,90e9c946-6323-49a4-be69-116f04fec288,Utilities,2018-10-01,1071,502
DELL,91ee1b57-f36c-40cf-a8b7-84583daaafc9,Information Technology,2020-09-25,571,502
PWR,922c81b2-d99a-4a7f-bf54-6ebd6f8305bd,Industrials,2022-06-07,144,502
YUM,932a2ac2-9eba-47f1-932a-0ce1408c3683,Consumer Discretionary,2018-10-01,1071,502
LII,93b14f86-b2ed-4d2b-ad69-490922938b5f,Industrials,2018-10-01,85,0
UNH,943bb7c3-0fb0-4088-9a37-62549b5dc528,Health Care,2018-10-01,1071,502
