session,eligible_assets,gross,net,turnover,expected_return,variance,objective,max_factor_exposure,exposure_equity,exposure_duration,exposure_credit,exposure_commodity,exposure_usd
2012-10-17,19,0.6479724193239885,3.0687258290029718e-15,0.24952892247072322,0.0003508483480631849,4.052888177821228e-06,0.00021809315292386383,5.447031714567174e-15,-1.023827329121053e-16,5.447031714567174e-15,-4.85722573273506e-17,-1.9978851435384985e-17,1.0581813203458523e-16
2012-10-24,19,0.6433525495397913,-3.469446951953614e-18,0.0021093035579547266,0.00034901697349624434,4.072634731758313e-06,0.00026654010531763233,3.608224830031759e-16,3.0904556763683042e-18,-3.608224830031759e-16,0.0,1.0102801022150953e-18,0.0
2012-11-02,19,0.6458096874512415,1.734723475976807e-17,0.0011947418314604504,0.00032564050399722035,4.205307853798868e-06,0.00024244790505685348,5.551115123125783e-17,3.1428869540596627e-19,5.551115123125783e-17,6.938893903907228e-18,-1.563958263104965e-17,-3.469446951953614e-18
2012-11-09,19,0.6474190351273471,1.0408340855860843e-17,0.006618003144718653,0.00042808698005910033,4.368958606635899e-06,0.0003428350907391624,2.2898349882893854e-16,1.0059782033085573e-18,2.2898349882893854e-16,0.0,-1.2177933493744578e-17,-1.5612511283791264e-17
2012-11-16,19,0.6457280190568105,-1.5612511283791264e-17,0.0013574928922233543,0.00037005544252757236,4.087484279824659e-06,0.0002874271790632635,2.7755575615628914e-17,-2.2587884124703528e-17,-2.7755575615628914e-17,-6.938893903907228e-18,-1.7549871573366317e-17,5.204170427930421e-18
2012-11-26,19,0.6496727155569604,4.163336342344337e-17,0.003581138671805608,0.00038764769464012095,4.121619860248547e-06,0.00030402497290462,2.112624475841843e-17,2.112624475841843e-17,1.3877787807814457e-17,1.3877787807814457e-17,-2.9823656818454698e-18,-8.673617379884035e-18
2012-12-03,19,0.6525746983547179,-2.7755575615628914e-17,0.001888810768897139,0.00041166321269501806,3.712527872825274e-06,0.00033014680169749004,5.551115123125783e-17,3.0817232288020373e-18,-5.551115123125783e-17,0.0,-1.9808980816972124e-17,-6.938893903907228e-18
2012-12-10,19,0.6553254411915657,-6.938893903907228e-18,0.0012899182134992592,0.00038055291918585605,3.470404454400516e-06,0.00030010327568574634,1.734723475976807e-16,3.0413732972151396e-19,1.734723475976807e-16,1.3877787807814457e-17,-2.6917546148950132e-17,-5.204170427930421e-18
2012-12-17,19,0.6373110852087782,2.42861286636753e-17,0.015734672797066578,0.00026822281617940567,3.285276399532743e-06,0.0001875306260359926,1.6653345369377348e-16,-1.0792053239569319e-17,1.6653345369377348e-16,0.0,-1.2849832675802208e-17,-5.204170427930421e-18
2012-12-24,19,0.6382298685404701,1.5612511283791264e-17,0.0012497060454061855,0.00037829767827178416,3.1971555838589973e-06,0.0003008616593888096,2.7755575615628914e-17,1.695383290753855e-18,-2.7755575615628914e-17,0.0,-1.856753213456676e-17,-6.938893903907228e-18
