symbol,security_id,sector,latest_raw_close,median_dollar_volume_60,coverage_60,valid_observations,shortable_at_capture,eligible,reasons,membership_available_at,scope,approved_weight
GLW,b3ce91f9-c7b2-4ab2-9a16-57fb17e06294,Information Technology,150.13,1579431635.865,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
CVX,186997ab-b63c-439b-bf62-72275d1c4c27,Energy,209.51,1548776132.0149999,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
C,36c8d04d-be51-476c-9382-0b6ea3bf1a26,Financials,131.77,1382282704.455,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
GE,0116ac5c-90bc-47a2-8bb4-0f4551521dc6,Industrials,314.27,1330208010.25,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
ADI,e72fbd29-be6b-43c2-80c6-b6e80d5b23db,Information Technology,375.72,1320397277.1399999,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
KO,3795cafe-fd54-4f66-a31e-66774be875ca,Consumer Staples,88.25,1312681607.6100001,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
VRT,a0026393-53a9-454c-89f9-1eb7cb4ae7af,Industrials,249.39,1300706162.095,1.0,1661,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
SMCI,e4870680-5a31-43e0-a477-c47d158ac43d,Information Technology,39.09,1278168599.795,1.0,2092,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
HD,b6b1ea06-5d71-4146-be77-03f671788940,Consumer Discretionary,299.98,1273376504.375,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
ABBV,09a51104-980a-47b6-ad4d-e4f04059be4a,Health Care,263.96,1267370252.6,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
ANET,0f1e6e45-a44d-4e3e-a53a-ffbdf25eb283,Information Technology,199.39,1261157448.815,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
PG,f81a406b-a53c-4ea5-ab05-6fb92bfc6bd7,Consumer Staples,146.39,1247223314.45,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
ADBE,2ac633b5-b3a7-4ba6-975d-f0f1e12dd1e4,Information Technology,248.92,1236886349.185,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
MRK,0d56791f-7395-40fa-853b-7b852bd9a7bf,Health Care,146.87,1205263489.145,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
INTU,cd1347d7-8add-49bd-acd1-4ffde9a4081b,Information Technology,303.19,1187324773.915,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
MCD,e077638f-a5c9-47e4-a7ce-2bfabf5ff698,Consumer Discretionary,248.24,1179404650.4850001,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
UBER,bea0f181-afd8-4bd2-9486-85d3fc2f10d7,Industrials,70.5,1173731420.1799998,1.0,1850,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
WFC,f9700a20-b0fe-4516-87c5-9d7b096d5539,Financials,86.12,1167597130.9,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
COIN,1f3f7283-250d-4477-8b1e-037df55e5046,Financials,194.25,1148370757.4250002,1.0,1365,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
T,2d6ed211-6d9b-46d9-b9d5-d3f8b453fd9a,Communication,25.4,1098038523.29,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
BKNG,c50070cd-18b4-4f29-ae0f-f192e4cc4553,Consumer Discretionary,167.9,1090842811.785,1.0,2152,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
TMO,722b2e6d-2b85-4502-8f72-55f199fb3c47,Health Care,651.45,1088972754.64,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
PEP,7b7466c4-5066-4e3e-80e6-8da1c835ce56,Consumer Staples,129.75,1088804497.96,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
BA,3bed4fb2-4093-4433-b887-770ae3defd3a,Industrials,198.2,1048589056.0699999,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
TER,abb494ba-b24a-46bc-b050-2128e3303f60,Information Technology,371.47,1036275481.8,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
VZ,a54066ec-ebb0-4d1e-b7cf-cd84298515ec,Communication,48.09,1027002430.885,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
DDOG,113d6f5b-a48f-4d20-a63f-79ea0bc88ebd,Information Technology,229.92,1011545504.8399999,1.0,1759,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
ACN,6eace613-5882-4eca-8635-d1c41ee9e260,Information Technology,181.29,1000600259.44,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
LIN,cbf869d9-873b-426a-bdea-37e0bc4250f9,Materials,460.4,996041607.9649999,1.0,1980,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
PFE,b0940983-b0c6-42f1-97d5-b1b580e4431b,Health Care,27.66,991691902.4000001,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
MS,1c2f8701-b8cb-40b6-902a-1e9a6a0c7bcf,Financials,202.58,979114655.6400001,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
ISRG,e02df0be-fd3a-4762-b4c1-c274784bf756,Health Care,393.33,969334173.915,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
MPWR,de7edaf4-bc7f-44fc-87d9-27b52406ccc6,Information Technology,1217.8,966834478.74,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
AMGN,201b268b-cde8-4010-9fe3-41d2ac7f1e9c,Health Care,385.65,959465954.1700001,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
APH,4b36cdb2-64e4-4f6c-9dd6-8c1326cf5829,Information Technology,77.55,954972038.31,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
NKE,db00f7c3-19bb-42b6-9beb-79e92487f99e,Consumer Discretionary,35.51,948122153.57,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
ABT,a097c03a-7ebe-4de6-b729-a82370cd2a6e,Health Care,102.61,947827100.465,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
DIS,2f34c0b3-a4aa-4959-b52c-3c41b2c246c4,Communication,102.67,938635220.4449999,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
TJX,1168e42c-a598-4ed9-8371-2033a0f6af54,Consumer Discretionary,127.24,930229467.21,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
NEE,ac20a75d-5bb4-4d10-96e8-f5e58e730139,Utilities,80.47,917487254.3999999,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
HPE,03a4498a-78b3-4043-8dcb-2c3cf4dc352e,Information Technology,60.76,899478924.835,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
BSX,2652a688-e44c-469e-92f8-8ece2594d4c0,Health Care,43.34,894257484.3199999,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
FCX,75951f3e-87ac-4f58-98f3-d4fdb649d332,Materials,71.54,880338681.605,1.0,2441,True,True,,2026-09-20T07:00:27.670424+00:00,prospective_diagnostic_only,0.0
