symbol,security_id,sector,maximum_internal_missing_or_zero_run,excluded
DVA,31a9ec05-bf6a-4e77-8fbe-eafe432eab4a,Health Care,0,False
LULU,31aa3cfa-8925-4cbc-98bc-74f411b7f17c,Consumer Discretionary,0,False
SNDK,325cea3c-527c-4075-8130-e5bbbe58a8a3,Information Technology,0,False
PLD,32d00bae-5f6a-4712-9c18-3a007524fa3f,Real Estate,0,False
CPRT,3302e560-6d33-4ad5-a429-4d573e26962c,Industrials,0,False
VRTX,357a8404-f368-40a1-9356-3eb500f4f08a,Health Care,0,False
LITE,363b9094-c5ae-4899-bbc0-f94b27c87a6e,Information Technology,0,False
C,36c8d04d-be51-476c-9382-0b6ea3bf1a26,Financials,0,False
APTV,372dd257-daba-4869-8495-a42fbe748204,Consumer Discretionary,0,False
KO,3795cafe-fd54-4f66-a31e-66774be875ca,Consumer Staples,0,False
GL,37ecce71-4bf1-44ea-8157-2bc7f4aefb1c,Financials,0,False
STT,38d1f1ae-38a3-49fc-bcb7-909d0011ef26,Financials,0,False
IDXX,3988b92e-b5ee-449e-a83a-a04bbdf18cff,Health Care,0,False
ITW,399a368e-f430-4a40-bd27-a046ea7bc0d9,Industrials,0,False
QCOM,39be1334-06b6-4df2-a2f1-b21b942628d0,Information Technology,0,False
LRCX,3ae976ac-6d14-4c4f-b02d-e83813f8a829,Information Technology,0,False
XYZ,3bd2f8c7-ceb9-4916-8a1e-4bcf3654efd9,Financials,0,False
KVUE,3bded6a8-55f6-40d0-8157-1d2eb50cf7d8,Consumer Staples,0,False
BA,3bed4fb2-4093-4433-b887-770ae3defd3a,Industrials,0,False
CAH,3c1286a9-21d1-45cf-b569-502c86ff121d,Health Care,0,False
NUE,3c3a99ab-4500-4f14-8f23-50a01d3019b1,Materials,0,False
ZBRA,3c6eaa3f-d12a-4e72-aab5-b0e005ba631a,Information Technology,0,False
DOV,3d61eb0a-68d9-4a74-9f71-57551a892a5f,Industrials,0,False
MAS,3d9e6406-e27a-4c27-a898-ab1670650b5a,Industrials,0,False
EXPE,3e3bbdb0-d6a4-4db1-8fbb-133f75fd4f66,Consumer Discretionary,0,False
SNA,3f252264-10aa-47db-9c4b-42bd452e36f4,Industrials,0,False
WMT,3f3e0ff9-599f-4fec-8842-6bc53f5129a1,Consumer Staples,0,False
WEC,3fc48ca4-397a-48d0-aae0-908c807f7159,Utilities,0,False
ABNB,403113aa-7838-4345-dd32-d63a5f9da70b,Consumer Discretionary,0,False
ROK,4039d327-5ab5-4040-8920-b23ab2e669b2,Industrials,0,False
BDX,419e89a6-efe2-4773-ba4f-1bf5dca33cb2,Health Care,0,False
ADM,41e7c72d-bf5f-4ff9-9813-387ef5038cf3,Consumer Staples,0,False
PKG,42682c03-86b5-452b-8711-01ec96295840,Materials,0,False
DHR,42f6d400-741b-4a18-ae61-73faae71e2cb,Health Care,0,False
DUK,42f7b895-93aa-48d4-909e-6e05ad6bd2ca,Utilities,0,False
WAT,4373b822-84c5-4a0b-87f8-428c6e982a1b,Health Care,0,False
MAA,43c10351-9d2c-40cd-879a-9aaa21d5db01,Real Estate,0,False
TXN,440efabf-b53c-4d70-b6e5-abb4f53e7104,Information Technology,0,False
APO,4493d0ec-797a-4e84-a849-06aa60fb726f,Financials,0,False
GRMN,44ddf865-1d4c-443a-b0a4-d8304a703836,Consumer Discretionary,0,False
PH,44de3ac7-fd5e-4c49-99ae-561246d323f5,Industrials,0,False
MKC,45c52e44-2c57-4886-9ec0-be254b4a8590,Consumer Staples,0,False
INCY,460d5fb3-ed90-48a1-b0d7-276f08f617f5,Health Care,0,False
TTWO,46502bdb-1f73-48cd-a9e7-e194d1d6938d,Communication,0,False
BLK,467bc92e-332b-4f62-95c7-3c9288c20018,Financials,0,False
NSC,477b4ce8-cdd7-48b8-9c40-e64e37bbeadd,Industrials,0,False
GWW,486a7ad1-ef92-4e1f-a113-3c4a04e29034,Industrials,0,False
AXP,49b90cdc-f6f5-4a7c-807a-ed172e6017af,Financials,0,False
APH,4b36cdb2-64e4-4f6c-9dd6-8c1326cf5829,Information Technology,0,False
WY,4c3e17f6-0d5a-44ec-b05f-c0f7b973d7db,Real Estate,0,False
IVZ,4c95e7ec-088b-4406-b011-f3db977acb5a,Financials,0,False
ROL,4cbd2a17-105f-470d-b690-1e58aa0ce908,Industrials,0,False
STLD,4cbeae28-abb2-4b2c-9fc2-acd8cae641d9,Materials,0,False
EL,4cdbdf28-5c76-463f-bce0-23bcb2d3bb49,Consumer Staples,0,False
NVDA,4ce9353c-66d1-46c2-898f-fce867ab0247,Information Technology,0,False
DOC,4cfb073b-88c3-4ed5-82f9-64a689aa83ed,Real Estate,1,False
HON,4d463097-3a48-4120-a2ec-d9a4b68302a9,Industrials,0,False
