symbol,security_id,sector,theoretical_weight,approved_weight,order_authorized
NCLH,81f61b55-adee-402e-87d4-7b49579e2338,Consumer Discretionary,-0.005801795789369,0.0,False
PRU,830538b2-f315-42e8-a9d6-1b12e539c5ff,Financials,0.001258268446954,0.0,False
NXPI,840703bb-88cd-4cac-9acd-91eba330dc8a,Information Technology,-0.0043052382289665,0.0,False
ARES,849c6721-e693-4bd9-9d04-8d924fccfc3e,Financials,-0.0056651414920497,0.0,False
LLY,87266a27-1b34-47bd-b236-bd3a9f59b138,Health Care,0.0051747969404296,0.0,False
HIG,896c7f7e-0f23-490a-a7db-d68a269642bb,Financials,0.0015074177590891,0.0,False
HST,8c16ddb4-4722-4c02-848d-e9f022ae0c35,Real Estate,0.0022628861326866,0.0,False
TECH,8c7debd9-6b14-44e4-9052-bb2ab5690363,Health Care,0.001500878228601,0.0,False
TSLA,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,Consumer Discretionary,-0.0048695527368917,0.0,False
DGX,8cff8b3e-70a0-408a-8584-44c3670992a2,Health Care,0.0037783903129659,0.0,False
DXCM,8dd538ed-bf95-4b22-a6c7-e6f01131d65d,Health Care,-0.0024024757787744,0.0,False
SRE,8deb7c67-def6-49e9-aace-9d628260a100,Utilities,-0.0002189679058428,0.0,False
HPQ,8e341794-40b2-4509-bca8-c7b6fc49eb96,Information Technology,-0.0005811550795717,0.0,False
ALB,90771657-de50-427a-9042-6b257dae4b7d,Materials,0.0026667327537225,0.0,False
AEP,90e9c946-6323-49a4-be69-116f04fec288,Utilities,0.0019123751509465,0.0,False
PWR,922c81b2-d99a-4a7f-bf54-6ebd6f8305bd,Industrials,0.0032619384852461,0.0,False
YUM,932a2ac2-9eba-47f1-932a-0ce1408c3683,Consumer Discretionary,0.0034656773152242,0.0,False
LII,93b14f86-b2ed-4d2b-ad69-490922938b5f,Industrials,-0.0064591595741538,0.0,False
UNH,943bb7c3-0fb0-4088-9a37-62549b5dc528,Health Care,0.0041474288187765,0.0,False
FITB,94f6f5c6-861b-47fc-b208-1e7765e4a68f,Financials,0.0027381387312483,0.0,False
LEN,95ae860b-4cf1-4dfe-9159-9bd4cd3c7915,Consumer Discretionary,-0.0047138987239427,0.0,False
NEM,96da6121-b5ab-4f8b-bb53-60ae53cb5ed3,Materials,0.0018800849006167,0.0,False
FICO,9785d232-7b97-43f2-8b4b-6bfb80c0442c,Information Technology,-0.0023698426803699,0.0,False
SYF,981f70e6-3263-46df-ae90-283910e259c8,Financials,-0.0027235482129452,0.0,False
UAL,98dbc012-8ca2-4e68-b2f7-464fdc9bbf3c,Industrials,-0.0040503550803312,0.0,False
CSCO,9ec078b1-5167-4d3d-908c-a1e49be367f1,Information Technology,0.0022513950406834,0.0,False
ALL,9f5ab4fb-335d-41ef-83d9-4d0abbd61fde,Financials,0.0050876998148455,0.0,False
ABT,a097c03a-7ebe-4de6-b729-a82370cd2a6e,Health Care,-0.003808466509768,0.0,False
AMT,a148da60-6af9-443b-a3a9-9d3e65eb91e9,Real Estate,-0.0033628268395375,0.0,False
ADSK,a21ecb08-ff55-4c19-94d3-a8d607d91be8,Information Technology,-0.0024390562043121,0.0,False
IBKR,a2d428df-103b-4db0-b0b0-6d2c826b840c,Financials,-0.0018214416760747,0.0,False
CMG,a3e21504-59e3-4f4b-8f9c-86a569bdf842,Consumer Discretionary,-0.0032268011709221,0.0,False
VZ,a54066ec-ebb0-4d1e-b7cf-cd84298515ec,Communication,0.0044573167074923,0.0,False
BBY,a5a7a7b7-5a80-44c6-8051-989b3bb4a1c2,Consumer Discretionary,0.004699899029463,0.0,False
TTD,a62e1ba1-af52-411b-ab22-537c2cd2e67d,Communication,-0.0068777673885422,0.0,False
LOW,a6ffe329-5ea3-4bb8-b58a-06ed1432dd50,Consumer Discretionary,-0.0017822689669843,0.0,False
EIX,a75f7d48-0d93-445f-9fb9-34d9160760b6,Utilities,0.0032736999063802,0.0,False
VTR,a760766c-8c49-4886-85af-990e47f9d78a,Real Estate,0.0036031720196501,0.0,False
CL,a7dd2d26-59d5-4c85-8449-cd0cb975fd98,Consumer Staples,0.0009733729710588,0.0,False
